state,VEP.Turnout.Rate..Highest.Office.,voted_turnout_self_nona,state_abb
Alabama,61.8,66.52587117212249,AL
Alaska,68.1,69.56521739130434,AK
Arizona,68,79.7676008202324,AZ
Arkansas,56.3,60.07462686567165,AR
California,67.5,75.90863952333665,CA
Colorado,76.7,79.73609802073516,CO
Connecticut,69.3,75.38940809968847,CT
Delaware,69.5,77.08333333333334,DE
Florida,71.8,75.60130010834236,FL
Georgia,67.9,70.32967032967034,GA
Hawaii,55.2,78.06122448979592,HI
Idaho,66.8,73.92638036809815,ID
Illinois,66,75.04363001745202,IL
Indiana,60.8,74.87787857641311,IN
Iowa,72.5,79.74683544303798,IA
Kansas,65.6,73.61702127659574,KS
Kentucky,64.4,72.50996015936255,KY
Louisiana,63.6,68.00618238021639,LA
Maine,74.9,80.05698005698005,ME
Maryland,69.2,74.49428320140721,MD
Massachusetts,70.5,78.17883511074652,MA
Michigan,73,79.45557267591165,MI
Minnesota,79.4,82.42303872889771,MN
Mississippi,59.9,61.038961038961034,MS
Missouri,66,76.19392185238785,MO
Montana,72,82.6086956521739,MT
Nebraska,68.8,70.65527065527066,NE
Nevada,66,75.56179775280899,NV
New Hampshire,74,84.65753424657534,NH
New Jersey,70.6,79.14438502673798,NJ
New Mexico,60.8,83.7465564738292,NM
New York,60.6,72.65856950067476,NY
North Carolina,72.5,74.37722419928826,NC
North Dakota,63,70.70063694267516,ND
Ohio,66.5,75.26923076923076,OH
Oklahoma,55.2,62.39015817223199,OK
Oregon,75,81.76795580110497,OR
Pennsylvania,69.7,77.89440203562341,PA
Rhode Island,62.6,75.1269035532995,RI
South Carolina,65.4,70.36346691519105,SC
South Dakota,65.6,77.77777777777779,SD
Tennessee,59.5,71.42857142857143,TN
Texas,60.6,68.69762174405436,TX
Utah,68,72.88801571709233,UT
Vermont,71.6,82.66666666666667,VT
Virginia,71.8,78.6732456140351,VA
Washington,75.6,75.69141193595343,WA
West Virginia,56.7,73.87387387387388,WV
Wisconsin,75,77.79578606158833,WI
Wyoming,64.9,74.73684210526315,WY
